Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN121,gain,MICALL2
cnaPANCAN121,gain,MIOS
cnaPANCAN121,gain,MMD2
cnaPANCAN121,gain,NDUFA4
cnaPANCAN121,gain,NUDT1
cnaPANCAN121,gain,NXPH1
cnaPANCAN121,gain,OCM
cnaPANCAN121,gain,PAPOLB
cnaPANCAN121,gain,PHF14
cnaPANCAN121,gain,PMS2
cnaPANCAN121,gain,PRKAR1B
cnaPANCAN121,gain,PSMG3
cnaPANCAN121,gain,RAC1
cnaPANCAN121,gain,RADIL
cnaPANCAN121,gain,RBAK
cnaPANCAN121,gain,RBAK-RBAKDN
cnaPANCAN121,gain,RNF216
cnaPANCAN121,gain,RPA3
cnaPANCAN121,gain,RPA3-AS1
cnaPANCAN121,gain,RSPH10B
cnaPANCAN121,gain,RSPH10B2
cnaPANCAN121,gain,SCIN
cnaPANCAN121,gain,SDK1
cnaPANCAN121,gain,SLC29A4
cnaPANCAN121,gain,SNX8
cnaPANCAN121,gain,SUN1
cnaPANCAN121,gain,THSD7A
cnaPANCAN121,gain,TMEM106B
cnaPANCAN121,gain,TMEM184A
cnaPANCAN121,gain,TNRC18
cnaPANCAN121,gain,TTYH3
cnaPANCAN121,gain,UNCX
cnaPANCAN121,gain,USP42
cnaPANCAN121,gain,VWDE
cnaPANCAN121,gain,WIPI2
cnaPANCAN121,gain,ZDHHC4
cnaPANCAN121,gain,ZFAND2A
cnaPANCAN121,gain,ZNF12
cnaPANCAN121,gain,ZNF853
cnaPANCAN122,gain,ABCB5
cnaPANCAN122,gain,AGR2
cnaPANCAN122,gain,AGR3
cnaPANCAN122,gain,AHR
cnaPANCAN122,gain,CDCA7L
cnaPANCAN122,gain,DNAH11
cnaPANCAN122,gain,FAM126A
cnaPANCAN122,gain,FERD3L
cnaPANCAN122,gain,HDAC9
cnaPANCAN122,gain,IL6
cnaPANCAN122,gain,ITGB8
cnaPANCAN122,gain,KLHL7
cnaPANCAN122,gain,MACC1
cnaPANCAN122,gain,PRPS1L1
cnaPANCAN122,gain,RAPGEF5
cnaPANCAN122,gain,SNX13
cnaPANCAN122,gain,SP4
cnaPANCAN122,gain,SP8
cnaPANCAN122,gain,STEAP1B
cnaPANCAN122,gain,TMEM196
cnaPANCAN122,gain,TOMM7
cnaPANCAN122,gain,TSPAN13
cnaPANCAN122,gain,TWIST1
cnaPANCAN122,gain,TWISTNB
cnaPANCAN123,gain,AVL9
cnaPANCAN123,gain,FKBP9
cnaPANCAN124,gain,CCT6A
cnaPANCAN124,gain,CHCHD2
cnaPANCAN124,gain,EGFR
cnaPANCAN124,gain,GBAS
cnaPANCAN124,gain,LANCL2
cnaPANCAN124,gain,MRPS17
cnaPANCAN124,gain,MRPS17
cnaPANCAN124,gain,NUPR1L
cnaPANCAN124,gain,PHKG1
cnaPANCAN124,gain,POM121L12
cnaPANCAN124,gain,PSPH
cnaPANCAN124,gain,SEC61G
cnaPANCAN124,gain,SEPT14
cnaPANCAN124,gain,SUMF2
cnaPANCAN124,gain,VOPP1
cnaPANCAN124,gain,VSTM2A
cnaPANCAN124,gain,ZNF479
cnaPANCAN124,gain,ZNF713
cnaPANCAN124,gain,ZNF716
cnaPANCAN125,gain,ERV3-1
cnaPANCAN125,gain,ZNF107
cnaPANCAN125,gain,ZNF117
cnaPANCAN125,gain,ZNF138
cnaPANCAN125,gain,ZNF273
cnaPANCAN125,gain,ZNF679
cnaPANCAN125,gain,ZNF680
cnaPANCAN125,gain,ZNF736
cnaPANCAN125,gain,ZNF92
cnaPANCAN126,gain,POR
cnaPANCAN126,gain,RHBDD2
cnaPANCAN127,gain,AKAP9
cnaPANCAN127,gain,ANKIB1
cnaPANCAN127,gain,BET1
cnaPANCAN127,gain,CALCR
cnaPANCAN127,gain,CASD1
cnaPANCAN127,gain,CCDC132
cnaPANCAN127,gain,CDK14
cnaPANCAN127,gain,CDK6
cnaPANCAN127,gain,CLDN12
cnaPANCAN127,gain,COL1A2
cnaPANCAN127,gain,CYP51A1
cnaPANCAN127,gain,ERVW-1
cnaPANCAN127,gain,FAM133B
cnaPANCAN127,gain,FZD1
cnaPANCAN127,gain,GATAD1
cnaPANCAN127,gain,GNG11
cnaPANCAN127,gain,GNGT1
cnaPANCAN127,gain,GTPBP10
cnaPANCAN127,gain,HEPACAM2
cnaPANCAN127,gain,KRIT1
cnaPANCAN127,gain,LRRD1
cnaPANCAN127,gain,MTERF
cnaPANCAN127,gain,PEG10
cnaPANCAN127,gain,PEX1
cnaPANCAN127,gain,PPP1R9A
cnaPANCAN127,gain,RBM48
cnaPANCAN127,gain,SAMD9
cnaPANCAN127,gain,SAMD9L
cnaPANCAN127,gain,SGCE
cnaPANCAN127,gain,TFPI2
cnaPANCAN128,gain,AP4M1
cnaPANCAN128,gain,AZGP1
cnaPANCAN128,gain,C7orf43
cnaPANCAN128,gain,CNPY4
cnaPANCAN128,gain,COPS6
cnaPANCAN128,gain,GAL3ST4
cnaPANCAN128,gain,GPC2
cnaPANCAN128,gain,LAMTOR4
cnaPANCAN128,gain,MBLAC1
cnaPANCAN128,gain,MCM7
cnaPANCAN128,gain,STAG3
cnaPANCAN128,gain,TAF6
cnaPANCAN128,gain,ZKSCAN1
cnaPANCAN128,gain,ZNF3
cnaPANCAN128,gain,ZSCAN21
cnaPANCAN129,gain,AASS
cnaPANCAN129,gain,AC106873.4
cnaPANCAN129,gain,ANKRD7
cnaPANCAN129,gain,ASB15
cnaPANCAN129,gain,ASZ1
cnaPANCAN129,gain,C7orf60
cnaPANCAN129,gain,CADPS2
cnaPANCAN129,gain,CAPZA2
cnaPANCAN129,gain,CAV1
cnaPANCAN129,gain,CAV2
cnaPANCAN129,gain,CFTR
cnaPANCAN129,gain,CPED1
cnaPANCAN129,gain,CTTNBP2
cnaPANCAN129,gain,DOCK4
cnaPANCAN129,gain,FAM3C
cnaPANCAN129,gain,FEZF1
cnaPANCAN129,gain,FOXP2
cnaPANCAN129,gain,GPR85
cnaPANCAN129,gain,HYAL4
cnaPANCAN129,gain,IFRD1
cnaPANCAN129,gain,IMMP2L
cnaPANCAN129,gain,ING3
cnaPANCAN129,gain,IQUB
cnaPANCAN129,gain,KCND2
cnaPANCAN129,gain,LINC00998
cnaPANCAN129,gain,LMOD2
cnaPANCAN129,gain,LSMEM1
cnaPANCAN129,gain,MDFIC
cnaPANCAN129,gain,MET
cnaPANCAN129,gain,NAA38
cnaPANCAN129,gain,NDUFA5
cnaPANCAN129,gain,PPP1R3A
cnaPANCAN129,gain,PTPRZ1
cnaPANCAN129,gain,RNF133
cnaPANCAN129,gain,RNF148
cnaPANCAN129,gain,SLC13A1
cnaPANCAN129,gain,ST7
cnaPANCAN129,gain,ST7-OT4
cnaPANCAN129,gain,TAS2R16
cnaPANCAN129,gain,TES
cnaPANCAN129,gain,TFEC
cnaPANCAN129,gain,TMEM168
cnaPANCAN129,gain,TSPAN12
cnaPANCAN129,gain,WASL
cnaPANCAN129,gain,WNT16
cnaPANCAN129,gain,WNT2
cnaPANCAN129,gain,ZNF277
cnaPANCAN130,gain,ABCB8
cnaPANCAN130,gain,ABCF2
cnaPANCAN130,gain,AC005481.5
cnaPANCAN130,gain,AC008060.7
cnaPANCAN130,gain,AC009403.2
cnaPANCAN130,gain,AC021218.2
cnaPANCAN130,gain,AC099552.4
cnaPANCAN130,gain,ACTR3B
cnaPANCAN130,gain,ACTR3C
cnaPANCAN130,gain,AGAP3
cnaPANCAN130,gain,AOC1
cnaPANCAN130,gain,ASB10
cnaPANCAN130,gain,ASIC3
cnaPANCAN130,gain,ATG9B
cnaPANCAN130,gain,ATP6V0E2
cnaPANCAN130,gain,BLACE
cnaPANCAN130,gain,C7orf13
cnaPANCAN130,gain,CDK5
cnaPANCAN130,gain,CHPF2
cnaPANCAN130,gain,CNPY1
cnaPANCAN130,gain,CRYGN
cnaPANCAN130,gain,DNAJB6
cnaPANCAN130,gain,DPP6
cnaPANCAN130,gain,EN2
cnaPANCAN130,gain,FASTK
cnaPANCAN130,gain,GALNT11
cnaPANCAN130,gain,GALNTL5
cnaPANCAN130,gain,GBX1
cnaPANCAN130,gain,GIMAP1
cnaPANCAN130,gain,GIMAP2
cnaPANCAN130,gain,GIMAP4
cnaPANCAN130,gain,GIMAP5
cnaPANCAN130,gain,GIMAP6
cnaPANCAN130,gain,GIMAP7
cnaPANCAN130,gain,GIMAP8
cnaPANCAN130,gain,HTR5A
cnaPANCAN130,gain,HTR5A-AS1
cnaPANCAN130,gain,INSIG1
cnaPANCAN130,gain,KCNH2
cnaPANCAN130,gain,KMT2C
cnaPANCAN130,gain,KRBA1
cnaPANCAN130,gain,LMBR1
cnaPANCAN130,gain,LRRC61
cnaPANCAN130,gain,MNX1
cnaPANCAN130,gain,NOM1
cnaPANCAN130,gain,NOS3
cnaPANCAN130,gain,NUB1
cnaPANCAN130,gain,PAXIP1
cnaPANCAN130,gain,PAXIP1-AS2
cnaPANCAN130,gain,PRKAG2
cnaPANCAN130,gain,PTPRN2
cnaPANCAN130,gain,RARRES2
cnaPANCAN130,gain,RBM33
cnaPANCAN130,gain,REPIN1
cnaPANCAN130,gain,RHEB
cnaPANCAN130,gain,RNF32
cnaPANCAN130,gain,SHH
cnaPANCAN130,gain,SLC4A2
cnaPANCAN130,gain,SMARCD3
cnaPANCAN130,gain,TMEM176A
cnaPANCAN130,gain,TMEM176B
cnaPANCAN130,gain,TMUB1
cnaPANCAN130,gain,UBE3C
cnaPANCAN130,gain,WDR86
cnaPANCAN130,gain,XRCC2
cnaPANCAN130,gain,ZBED6CL
cnaPANCAN130,gain,ZNF212
cnaPANCAN130,gain,ZNF282
cnaPANCAN130,gain,ZNF467
cnaPANCAN130,gain,ZNF746
cnaPANCAN130,gain,ZNF775
cnaPANCAN130,gain,ZNF777
cnaPANCAN130,gain,ZNF783
cnaPANCAN130,gain,ZNF862
cnaPANCAN131,loss,SUN1
cnaPANCAN132,loss,GLI3
cnaPANCAN133,loss,GRB10
cnaPANCAN134,loss,NAMPT
cnaPANCAN135,loss,IMMP2L
cnaPANCAN135,loss,LRRN3
cnaPANCAN136,loss,NAA38
cnaPANCAN137,loss,AASS
cnaPANCAN137,loss,ARF5
cnaPANCAN137,loss,ASB15
cnaPANCAN137,loss,CADPS2
cnaPANCAN137,loss,CPED1
cnaPANCAN137,loss,FAM3C
cnaPANCAN137,loss,FEZF1
cnaPANCAN137,loss,FSCN3
cnaPANCAN137,loss,GCC1
cnaPANCAN137,loss,GPR37
cnaPANCAN137,loss,GRM8
cnaPANCAN137,loss,HYAL4
cnaPANCAN137,loss,ING3
cnaPANCAN137,loss,IQUB
cnaPANCAN137,loss,KCND2
cnaPANCAN137,loss,LMOD2
cnaPANCAN137,loss,LRRC4
cnaPANCAN137,loss,NDUFA5
cnaPANCAN137,loss,PAX4
cnaPANCAN137,loss,POT1
cnaPANCAN137,loss,PTPRZ1
cnaPANCAN137,loss,RNF133
cnaPANCAN137,loss,RNF148
cnaPANCAN137,loss,SLC13A1
cnaPANCAN137,loss,SND1
cnaPANCAN137,loss,SPAM1
cnaPANCAN137,loss,TAS2R16
cnaPANCAN137,loss,TMEM229A
cnaPANCAN137,loss,TSPAN12
cnaPANCAN137,loss,WASL
cnaPANCAN137,loss,WNT16
cnaPANCAN137,loss,ZNF800
cnaPANCAN138,loss,ZC3HC1
cnaPANCAN139,gain,ERMP1
cnaPANCAN139,gain,KIAA1432
cnaPANCAN140,gain,ARHGEF39
cnaPANCAN140,gain,C9orf131
cnaPANCAN140,gain,CA9
cnaPANCAN140,gain,CCDC107
cnaPANCAN140,gain,CD72
cnaPANCAN140,gain,CREB3
cnaPANCAN140,gain,FAM166B
cnaPANCAN140,gain,FAM214B
cnaPANCAN140,gain,FAM221B
cnaPANCAN140,gain,FANCG
cnaPANCAN140,gain,GBA2
cnaPANCAN140,gain,HINT2
cnaPANCAN140,gain,HRCT1
cnaPANCAN140,gain,MSMP
cnaPANCAN140,gain,NPR2
cnaPANCAN140,gain,OR13J1
cnaPANCAN140,gain,OR2S2
cnaPANCAN140,gain,PIGO
cnaPANCAN140,gain,RGP1
cnaPANCAN140,gain,RUSC2
cnaPANCAN140,gain,SIT1
cnaPANCAN140,gain,SPAG8
cnaPANCAN140,gain,STOML2
cnaPANCAN140,gain,TESK1
cnaPANCAN140,gain,TLN1
cnaPANCAN140,gain,TMEM8B
cnaPANCAN140,gain,TPM2
cnaPANCAN140,gain,UNC13B
cnaPANCAN140,gain,VCP
cnaPANCAN141,gain,ABHD17B
cnaPANCAN141,gain,AGTPBP1
cnaPANCAN141,gain,ALDH1A1
cnaPANCAN141,gain,ANXA1
cnaPANCAN141,gain,APBA1
cnaPANCAN141,gain,C9orf135
cnaPANCAN141,gain,C9orf153
cnaPANCAN141,gain,C9orf170
cnaPANCAN141,gain,C9orf40
cnaPANCAN141,gain,C9orf41
cnaPANCAN141,gain,C9orf57
cnaPANCAN141,gain,C9orf64
cnaPANCAN141,gain,C9orf85
cnaPANCAN141,gain,CDK20
cnaPANCAN141,gain,CEP78
cnaPANCAN141,gain,CTSL
cnaPANCAN141,gain,DAPK1
cnaPANCAN141,gain,FAM122A
cnaPANCAN141,gain,FAM189A2
cnaPANCAN141,gain,FOXB2
cnaPANCAN141,gain,FRMD3
cnaPANCAN141,gain,FXN
cnaPANCAN141,gain,GAS1
cnaPANCAN141,gain,GCNT1
cnaPANCAN141,gain,GDA
cnaPANCAN141,gain,GKAP1
cnaPANCAN141,gain,GNA14
cnaPANCAN141,gain,GNAQ
cnaPANCAN141,gain,GOLM1
cnaPANCAN141,gain,HNRNPK
cnaPANCAN141,gain,IDNK
cnaPANCAN141,gain,ISCA1
cnaPANCAN141,gain,KIF27
cnaPANCAN141,gain,KLF9
cnaPANCAN141,gain,MAMDC2
cnaPANCAN141,gain,NAA35
cnaPANCAN141,gain,NMRK1
cnaPANCAN141,gain,NTRK2
cnaPANCAN141,gain,OSTF1
cnaPANCAN141,gain,PCSK5
cnaPANCAN141,gain,PGM5
cnaPANCAN141,gain,PIP5K1B
cnaPANCAN141,gain,PRKACG
cnaPANCAN141,gain,PRUNE2
cnaPANCAN141,gain,PSAT1
cnaPANCAN141,gain,PTAR1
cnaPANCAN141,gain,RASEF
cnaPANCAN141,gain,RFK
cnaPANCAN141,gain,RMI1
cnaPANCAN141,gain,RORB
cnaPANCAN141,gain,SLC28A3
cnaPANCAN141,gain,SMC5
cnaPANCAN141,gain,SPATA31D1
cnaPANCAN141,gain,SPATA31E1
cnaPANCAN141,gain,SPIN1
cnaPANCAN141,gain,TJP2
cnaPANCAN141,gain,TLE1
cnaPANCAN141,gain,TLE4
cnaPANCAN141,gain,TMC1
cnaPANCAN141,gain,TMEM2
cnaPANCAN141,gain,TMEM252
cnaPANCAN141,gain,TRPM3
cnaPANCAN141,gain,TRPM6
cnaPANCAN141,gain,UBQLN1
cnaPANCAN141,gain,VPS13A
cnaPANCAN141,gain,ZCCHC6
cnaPANCAN141,gain,ZFAND5
cnaPANCAN142,gain,CDC26
cnaPANCAN142,gain,SLC31A1
cnaPANCAN143,gain,ABCA2
cnaPANCAN143,gain,AGPAT2
cnaPANCAN143,gain,ANAPC2
cnaPANCAN143,gain,ARRDC1
cnaPANCAN143,gain,C8G
cnaPANCAN143,gain,C9orf139
cnaPANCAN143,gain,C9orf141
cnaPANCAN143,gain,C9orf142
cnaPANCAN143,gain,C9orf163
cnaPANCAN143,gain,C9orf169
cnaPANCAN143,gain,C9orf37
cnaPANCAN143,gain,CACNA1B
cnaPANCAN143,gain,CCDC183
cnaPANCAN143,gain,CLIC3
cnaPANCAN143,gain,DPH7
cnaPANCAN143,gain,DPP7
cnaPANCAN143,gain,EDF1
cnaPANCAN143,gain,EGFL7
cnaPANCAN143,gain,EHMT1
cnaPANCAN143,gain,ENTPD2
cnaPANCAN143,gain,ENTPD8
cnaPANCAN143,gain,EXD3
cnaPANCAN143,gain,FAM166A
cnaPANCAN143,gain,FAM69B
cnaPANCAN143,gain,FBXW5
cnaPANCAN143,gain,FUT7
cnaPANCAN143,gain,GRIN1
cnaPANCAN143,gain,LCN10
cnaPANCAN143,gain,LCN12
cnaPANCAN143,gain,LCN15
cnaPANCAN143,gain,LCN6
cnaPANCAN143,gain,LCN6
cnaPANCAN143,gain,LCN8
cnaPANCAN143,gain,LCNL1
cnaPANCAN143,gain,LRRC26
cnaPANCAN143,gain,MAMDC4
cnaPANCAN143,gain,MAN1B1
cnaPANCAN143,gain,MRPL41
cnaPANCAN143,gain,NDOR1
cnaPANCAN143,gain,NELFB
cnaPANCAN143,gain,NOTCH1
cnaPANCAN143,gain,NOXA1
cnaPANCAN143,gain,NPDC1
cnaPANCAN143,gain,NRARP
cnaPANCAN143,gain,NSMF
cnaPANCAN143,gain,PHPT1
cnaPANCAN143,gain,PNPLA7
cnaPANCAN143,gain,PTGDS
cnaPANCAN143,gain,RABL6
cnaPANCAN143,gain,RNF208
cnaPANCAN143,gain,RP11-216L13.17
cnaPANCAN143,gain,SAPCD2
cnaPANCAN143,gain,SEC16A
cnaPANCAN143,gain,SLC34A3
cnaPANCAN143,gain,SSNA1
cnaPANCAN143,gain,TMEM141
cnaPANCAN143,gain,TMEM203
cnaPANCAN143,gain,TMEM210
cnaPANCAN143,gain,TOR4A
cnaPANCAN143,gain,TPRN
cnaPANCAN143,gain,TRAF2
cnaPANCAN143,gain,TUBB4B
cnaPANCAN143,gain,UAP1L1
cnaPANCAN143,gain,ZMYND19
cnaPANCAN144,loss,ACER2
cnaPANCAN144,loss,ADAMTSL1
cnaPANCAN144,loss,AK3
cnaPANCAN144,loss,BNC2
cnaPANCAN144,loss,C9orf53
cnaPANCAN144,loss,C9orf72
cnaPANCAN144,loss,C9orf92
cnaPANCAN144,loss,CAAP1
cnaPANCAN144,loss,CCDC171
cnaPANCAN144,loss,CD274
cnaPANCAN144,loss,CDC37L1
cnaPANCAN144,loss,CDKN2A
cnaPANCAN144,loss,CDKN2B
cnaPANCAN144,loss,CER1
cnaPANCAN144,loss,CNTLN
cnaPANCAN144,loss,DENND4C
cnaPANCAN144,loss,DMRT1
cnaPANCAN144,loss,DMRT2
cnaPANCAN144,loss,DMRT3
cnaPANCAN144,loss,DMRTA1
cnaPANCAN144,loss,ELAVL2
cnaPANCAN144,loss,EQTN
cnaPANCAN144,loss,ERMP1
cnaPANCAN144,loss,FAM154A
cnaPANCAN144,loss,FOCAD
cnaPANCAN144,loss,FREM1
cnaPANCAN144,loss,GLDC
cnaPANCAN144,loss,GLIS3
cnaPANCAN144,loss,HAUS6
cnaPANCAN144,loss,IFNA1
cnaPANCAN144,loss,IFNA10
cnaPANCAN144,loss,IFNA13
cnaPANCAN144,loss,IFNA14
cnaPANCAN144,loss,IFNA16
cnaPANCAN144,loss,IFNA17
cnaPANCAN144,loss,IFNA2
cnaPANCAN144,loss,IFNA21
cnaPANCAN144,loss,IFNA4
cnaPANCAN144,loss,IFNA5
cnaPANCAN144,loss,IFNA6
cnaPANCAN144,loss,IFNA7
cnaPANCAN144,loss,IFNA8
cnaPANCAN144,loss,IFNB1
cnaPANCAN144,loss,IFNE
cnaPANCAN144,loss,IFNK
cnaPANCAN144,loss,IFNW1
cnaPANCAN144,loss,IFT74
cnaPANCAN144,loss,IL33
cnaPANCAN144,loss,INSL4
cnaPANCAN144,loss,INSL6
cnaPANCAN144,loss,IZUMO3
cnaPANCAN144,loss,JAK2
cnaPANCAN144,loss,KCNV2
cnaPANCAN144,loss,KDM4C
cnaPANCAN144,loss,KIAA0020
cnaPANCAN144,loss,KIAA1432
cnaPANCAN144,loss,KIAA2026
cnaPANCAN144,loss,KLHL9
cnaPANCAN144,loss,LINGO2
cnaPANCAN144,loss,LRRC19
cnaPANCAN144,loss,LURAP1L
cnaPANCAN144,loss,MLANA
cnaPANCAN144,loss,MLLT3
cnaPANCAN144,loss,MOB3B
cnaPANCAN144,loss,MPDZ
cnaPANCAN144,loss,MTAP
cnaPANCAN144,loss,NFIB
cnaPANCAN144,loss,PDCD1LG2
cnaPANCAN144,loss,PLAA
cnaPANCAN144,loss,PLGRKT
cnaPANCAN144,loss,PLIN2
cnaPANCAN144,loss,PPAPDC2
cnaPANCAN144,loss,PSIP1
cnaPANCAN144,loss,PTPLAD2
cnaPANCAN144,loss,PTPRD
cnaPANCAN144,loss,RANBP6
cnaPANCAN144,loss,RCL1
cnaPANCAN144,loss,RFX3
cnaPANCAN144,loss,RLN1
cnaPANCAN144,loss,RLN2
cnaPANCAN144,loss,RP11-145E5.5
cnaPANCAN144,loss,RPS6
cnaPANCAN144,loss,RRAGA
cnaPANCAN144,loss,SH3GL2
cnaPANCAN144,loss,SLC1A1
cnaPANCAN144,loss,SLC24A2
cnaPANCAN144,loss,SMARCA2
cnaPANCAN144,loss,SNAPC3
cnaPANCAN144,loss,SPATA6L
cnaPANCAN144,loss,TEK
cnaPANCAN144,loss,TMEM261
cnaPANCAN144,loss,TPD52L3
cnaPANCAN144,loss,TTC39B
cnaPANCAN144,loss,TUSC1
cnaPANCAN144,loss,TYRP1
cnaPANCAN144,loss,UHRF2
cnaPANCAN144,loss,VLDLR
cnaPANCAN144,loss,ZDHHC21
cnaPANCAN145,loss,ALDH1B1
cnaPANCAN145,loss,ANKRD18A
cnaPANCAN145,loss,ANKRD18A
cnaPANCAN145,loss,ARHGEF39
cnaPANCAN145,loss,ARID3C
cnaPANCAN145,loss,C9orf131
cnaPANCAN145,loss,CA9
cnaPANCAN145,loss,CCDC107
cnaPANCAN145,loss,CCIN
cnaPANCAN145,loss,CCL19
cnaPANCAN145,loss,CCL21
cnaPANCAN145,loss,CCL27
cnaPANCAN145,loss,CD72
cnaPANCAN145,loss,CLTA
cnaPANCAN145,loss,CNTFR
cnaPANCAN145,loss,CREB3
cnaPANCAN145,loss,DCAF10
cnaPANCAN145,loss,DCTN3
cnaPANCAN145,loss,DNAJB5
cnaPANCAN145,loss,EXOSC3
cnaPANCAN145,loss,FAM166B
cnaPANCAN145,loss,FAM205A
cnaPANCAN145,loss,FAM214B
cnaPANCAN145,loss,FAM221B
cnaPANCAN145,loss,FANCG
cnaPANCAN145,loss,FBXO10
cnaPANCAN145,loss,FRMPD1
cnaPANCAN145,loss,GALT
cnaPANCAN145,loss,GALT
cnaPANCAN145,loss,GBA2
cnaPANCAN145,loss,GLIPR2
cnaPANCAN145,loss,GNE
cnaPANCAN145,loss,GRHPR
cnaPANCAN145,loss,HINT2
cnaPANCAN145,loss,HRCT1
cnaPANCAN145,loss,IGFBPL1
cnaPANCAN145,loss,IL11RA
cnaPANCAN145,loss,KIAA1045
cnaPANCAN145,loss,MELK
cnaPANCAN145,loss,MSMP
cnaPANCAN145,loss,NPR2
cnaPANCAN145,loss,OR13J1
cnaPANCAN145,loss,OR2S2
cnaPANCAN145,loss,PAX5
cnaPANCAN145,loss,PIGO
cnaPANCAN145,loss,POLR1E
cnaPANCAN145,loss,RECK
cnaPANCAN145,loss,RGP1
cnaPANCAN145,loss,RNF38
cnaPANCAN145,loss,RP11-195F19.5
cnaPANCAN145,loss,RP11-613M10.8
cnaPANCAN145,loss,RP11-613M10.9
cnaPANCAN145,loss,RPP25L
cnaPANCAN145,loss,RUSC2
cnaPANCAN145,loss,SHB
cnaPANCAN145,loss,SIGMAR1
cnaPANCAN145,loss,SIT1
cnaPANCAN145,loss,SLC25A51
cnaPANCAN145,loss,SPAG8
cnaPANCAN145,loss,STOML2
cnaPANCAN145,loss,TESK1
cnaPANCAN145,loss,TLN1
cnaPANCAN145,loss,TMEM8B
cnaPANCAN145,loss,TOMM5
cnaPANCAN145,loss,TPM2
cnaPANCAN145,loss,TRMT10B
cnaPANCAN145,loss,UNC13B
cnaPANCAN145,loss,VCP
cnaPANCAN145,loss,ZBTB5
cnaPANCAN145,loss,ZCCHC7
cnaPANCAN146,loss,ABHD17B
cnaPANCAN146,loss,AGTPBP1
cnaPANCAN146,loss,ALDH1A1
cnaPANCAN146,loss,ANXA1
cnaPANCAN146,loss,APBA1
cnaPANCAN146,loss,C9orf135
cnaPANCAN146,loss,C9orf153
cnaPANCAN146,loss,C9orf170
cnaPANCAN146,loss,C9orf40
cnaPANCAN146,loss,C9orf41
cnaPANCAN146,loss,C9orf57
cnaPANCAN146,loss,C9orf64
cnaPANCAN146,loss,C9orf85
cnaPANCAN146,loss,CDK20
cnaPANCAN146,loss,CEP78
cnaPANCAN146,loss,CTSL
cnaPANCAN146,loss,DAPK1
cnaPANCAN146,loss,FAM122A
cnaPANCAN146,loss,FAM189A2
cnaPANCAN146,loss,FOXB2
cnaPANCAN146,loss,FRMD3
cnaPANCAN146,loss,FXN
cnaPANCAN146,loss,GAS1
cnaPANCAN146,loss,GCNT1
cnaPANCAN146,loss,GDA
cnaPANCAN146,loss,GKAP1
cnaPANCAN146,loss,GNA14
cnaPANCAN146,loss,GNAQ
cnaPANCAN146,loss,GOLM1
cnaPANCAN146,loss,HNRNPK
cnaPANCAN146,loss,IDNK
cnaPANCAN146,loss,ISCA1
cnaPANCAN146,loss,KIF27
cnaPANCAN146,loss,KLF9
cnaPANCAN146,loss,MAMDC2
cnaPANCAN146,loss,NAA35
cnaPANCAN146,loss,NMRK1
cnaPANCAN146,loss,NTRK2
cnaPANCAN146,loss,OSTF1
cnaPANCAN146,loss,PCSK5
cnaPANCAN146,loss,PGM5
cnaPANCAN146,loss,PIP5K1B
cnaPANCAN146,loss,PRKACG
cnaPANCAN146,loss,PRUNE2
cnaPANCAN146,loss,PSAT1
cnaPANCAN146,loss,PTAR1
cnaPANCAN146,loss,RASEF
cnaPANCAN146,loss,RFK
cnaPANCAN146,loss,RMI1
cnaPANCAN146,loss,RORB
cnaPANCAN146,loss,SLC28A3
cnaPANCAN146,loss,SMC5
cnaPANCAN146,loss,SPATA31D1
cnaPANCAN146,loss,SPATA31E1
cnaPANCAN146,loss,SPIN1
cnaPANCAN146,loss,TJP2
cnaPANCAN146,loss,TLE1
cnaPANCAN146,loss,TLE4
cnaPANCAN146,loss,TMC1
cnaPANCAN146,loss,TMEM2
cnaPANCAN146,loss,TMEM252
cnaPANCAN146,loss,TRPM3
cnaPANCAN146,loss,TRPM6
cnaPANCAN146,loss,UBQLN1
cnaPANCAN146,loss,VPS13A
cnaPANCAN146,loss,ZCCHC6
cnaPANCAN146,loss,ZFAND5
cnaPANCAN147,loss,AKAP2
cnaPANCAN147,loss,PALM2
cnaPANCAN147,loss,PALM2-AKAP2
cnaPANCAN148,loss,PTGR1
cnaPANCAN148,loss,ZNF483
cnaPANCAN149,loss,HSDL2
cnaPANCAN150,loss,PTGS1
cnaPANCAN151,loss,GOLGA1
cnaPANCAN152,loss,USP20
cnaPANCAN153,loss,ABL1
cnaPANCAN154,loss,AK8
cnaPANCAN155,loss,OBP2B
cnaPANCAN156,loss,VAV2
cnaPANCAN157,loss,COL5A1
cnaPANCAN158,loss,COL5A1
cnaPANCAN159,loss,SNAPC4
cnaPANCAN160,loss,INPP5E
cnaPANCAN160,loss,SEC16A
cnaPANCAN161,loss,AGPAT2
cnaPANCAN161,loss,C9orf163
cnaPANCAN161,loss,EGFL7
cnaPANCAN161,loss,FAM69B
cnaPANCAN161,loss,NOTCH1
cnaPANCAN162,loss,ARRDC1
cnaPANCAN162,loss,C9orf169
cnaPANCAN162,loss,C9orf37
cnaPANCAN162,loss,CACNA1B
cnaPANCAN162,loss,DPH7
cnaPANCAN162,loss,EHMT1
cnaPANCAN162,loss,ENTPD8
cnaPANCAN162,loss,EXD3
cnaPANCAN162,loss,FAM166A
cnaPANCAN162,loss,MRPL41
cnaPANCAN162,loss,NELFB
cnaPANCAN162,loss,NOXA1
cnaPANCAN162,loss,NRARP
cnaPANCAN162,loss,NSMF
